"ORDERTYPE","CHANNELID","SALESCHANNEL","SALESPERSON","CREATIONDATE","STOREID","SUBSALESCHANNEL"
"ACTIVATION","RETAIL","In-Person","repretail",08/08/2023 00:29:36,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",08/08/2023 00:27:44,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",08/08/2023 00:25:50,"5502","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",08/08/2023 00:23:50,"5502","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:27:28,"1922","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:26:16,"7525","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:26:15,"1922","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:24:27,"7525","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:23:49,"5502","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:22:40,"5502","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:20:02,"1939","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 23:19:28,"7525","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:16:15,"1939","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:12:49,"136F","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:09:37,"136F","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 23:09:30,"136F","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 23:06:31,"5766","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 23:04:04,"1939","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","RManage3",07/08/2023 22:59:38,"5766","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 22:59:05,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 22:57:03,"5502","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 22:38:46,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 22:35:10,"1939","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 22:33:14,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",07/08/2023 22:23:54,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 22:18:49,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",07/08/2023 22:18:07,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 16:30:52,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 13:48:57,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 13:35:12,"1922","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 13:13:00,"7525","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 12:18:58,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 10:06:33,"136F","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 10:00:53,"5502","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",07/08/2023 02:42:14,"8100","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",07/08/2023 02:27:49,"8100","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",07/08/2023 02:25:30,"2011","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",07/08/2023 02:23:29,"8100","Full Service"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",07/08/2023 00:12:02,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:11:41,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:11:36,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:08:54,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:06:12,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:04:56,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:04:44,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:04:02,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",07/08/2023 00:02:11,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",07/08/2023 00:01:20,"","Back Office and Support"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",06/08/2023 22:45:14,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",06/08/2023 22:43:20,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",06/08/2023 22:42:45,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",06/08/2023 22:19:21,"8100","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",06/08/2023 22:15:26,"8100","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",06/08/2023 22:12:30,"8100","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",06/08/2023 21:33:18,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",06/08/2023 21:23:17,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",06/08/2023 21:15:02,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",06/08/2023 21:12:15,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",06/08/2023 21:01:04,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",06/08/2023 14:10:26,"2011","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",04/08/2023 06:34:32,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",04/08/2023 06:32:43,"7806","Full Service"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",04/08/2023 06:17:51,"","Care"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:12:19,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:11:54,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:11:49,"","Back Office and Support"
"POSTPAYMENT","ERICSSON","Support","EMM",04/08/2023 00:10:47,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:10:44,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:10:34,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:10:34,"","Back Office and Support"
"POSTPAYMENT","ERICSSON","Support","EMM",04/08/2023 00:10:14,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:10:05,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:09:49,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:09:19,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:08:50,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:08:29,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:07:49,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:07:28,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:07:15,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:06:58,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:06:32,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:06:23,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:06:14,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:05:20,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:04:48,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:03:51,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",04/08/2023 00:03:12,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:02:59,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",04/08/2023 00:02:15,"","Back Office and Support"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",03/08/2023 21:43:25,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",03/08/2023 21:41:31,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",03/08/2023 20:18:48,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",03/08/2023 03:38:04,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",03/08/2023 03:32:11,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",03/08/2023 03:29:36,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",03/08/2023 03:09:31,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",03/08/2023 02:48:27,"","Care"
"ACTIVATION","CARE","Over the Phone","AROY34",03/08/2023 02:37:05,"","Care"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",03/08/2023 01:17:59,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",03/08/2023 00:54:05,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",03/08/2023 00:51:39,"491","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",03/08/2023 00:40:12,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",03/08/2023 00:39:52,"4683","Full Service"
"ACTIVATION","CARE","Over the Phone","ZTMUS_SUP_CD",03/08/2023 00:34:17,"","Care"
"ACTIVATION","CARE","Over the Phone","KVIKRAM2",03/08/2023 00:23:32,"","Care"
"ESCHEATMENT","ERICSSON","Support","EMM",03/08/2023 00:12:38,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",03/08/2023 00:11:58,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",03/08/2023 00:11:42,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",03/08/2023 00:08:08,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",03/08/2023 00:07:48,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",03/08/2023 00:07:38,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",03/08/2023 00:02:45,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",03/08/2023 00:02:19,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",03/08/2023 00:01:24,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",03/08/2023 00:01:22,"","Back Office and Support"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",02/08/2023 23:59:58,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",02/08/2023 23:42:16,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",02/08/2023 23:34:46,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",02/08/2023 23:34:02,"4683","Full Service"
"MANAGEADDON","CARE","Over the Phone","AROY34",02/08/2023 23:17:23,"","Care"
"MANAGEADDON","CARE","Over the Phone","AROY34",02/08/2023 20:49:47,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",02/08/2023 20:12:53,"4683","Full Service"
"EXCHANGE","RETAIL","In-Person","Manretail",02/08/2023 15:08:54,"7360","Full Service"
"MANAGEADDON","RETAIL","In-Person","RManage3",02/08/2023 09:18:10,"491","Full Service"
"MANAGEADDON","CARE","Over the Phone","NMENDIR2",02/08/2023 08:31:20,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",02/08/2023 08:08:31,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",02/08/2023 06:27:02,"","Care"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",02/08/2023 04:33:49,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",02/08/2023 04:19:52,"491","Full Service"
"MANAGEADDON","CARE","Over the Phone","AROY34",02/08/2023 03:15:06,"","Care"
"MANAGEADDON","CARE","Over the Phone","AROY34",02/08/2023 03:11:50,"","Care"
"ACTIVATION","CARE","Over the Phone","AROY34",02/08/2023 03:10:45,"","Care"
"MANAGEADDON","CARE","Over the Phone","NMENDIR2",02/08/2023 02:55:31,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","NMENDIR2",02/08/2023 02:48:20,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",02/08/2023 01:14:58,"","Care"
"MANAGEADDON","RETAIL","In-Person","RManage3",02/08/2023 00:33:58,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",02/08/2023 00:16:00,"","Care"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",02/08/2023 00:13:42,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:13:31,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",02/08/2023 00:11:19,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:10:36,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",02/08/2023 00:09:43,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:09:03,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",02/08/2023 00:08:24,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",02/08/2023 00:08:16,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:06:54,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:05:55,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:04:50,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:04:35,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",02/08/2023 00:03:57,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",02/08/2023 00:03:09,"","Back Office and Support"
"MANAGEADDON","CARE","Over the Phone","AMISHRA103",01/08/2023 23:30:46,"","Care"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",01/08/2023 23:23:36,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","AMISHRA103",01/08/2023 22:52:59,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","AMISHRA103",01/08/2023 22:47:54,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","AMISHRA103",01/08/2023 22:44:25,"","Care"
"CHANGESERVICESTATUS","CARE","Over the Phone","AMISHRA103",01/08/2023 22:38:57,"","Care"
"MANAGERATEPLAN","CARE","Over the Phone","AMISHRA103",01/08/2023 21:54:25,"","Care"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",01/08/2023 21:51:44,"","Care"
"MANAGEADDON","CARE","Over the Phone","KVIKRAM2",01/08/2023 21:36:25,"","Care"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",01/08/2023 21:15:46,"","Care"
"ACTIVATION","CARE","Over the Phone","KVIKRAM2",01/08/2023 21:09:20,"","Care"
"ACTIVATION","CARE","Over the Phone","AROY34",01/08/2023 20:45:08,"","Care"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",01/08/2023 19:49:38,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",01/08/2023 19:44:39,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",01/08/2023 19:44:03,"4683","Full Service"
"EXCHANGE","RETAIL","In-Person","Manretail",01/08/2023 16:04:15,"7360","Full Service"
"ACTIVATION","CARE","Over the Phone","CManage4",01/08/2023 08:22:22,"","Care"
"ACTIVATION","CARE","Over the Phone","CManage4",01/08/2023 07:52:48,"","Care"
"MANAGEADDON","RETAIL","In-Person","RManage3",01/08/2023 07:04:46,"491","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",01/08/2023 06:36:17,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",01/08/2023 06:34:28,"7806","Full Service"
"MANAGERATEPLAN","CARE","Over the Phone","NMENDIR2",01/08/2023 06:20:49,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",01/08/2023 06:15:52,"","Care"
"MANAGERATEPLAN","CARE","Over the Phone","NMENDIR2",01/08/2023 04:25:24,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",01/08/2023 04:19:42,"","Care"
"MANAGEADDON","RETAIL","In-Person","RManage3",01/08/2023 04:09:17,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",01/08/2023 03:40:27,"8808","Full Service"
"ACTIVATION","RETAIL","In-Person","RManage3",01/08/2023 03:06:17,"491","Full Service"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",01/08/2023 02:59:09,"","Care"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",01/08/2023 00:37:56,"7806","Full Service"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",01/08/2023 00:13:55,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",01/08/2023 00:13:29,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",01/08/2023 00:11:30,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",01/08/2023 00:09:31,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",01/08/2023 00:09:03,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",01/08/2023 00:06:50,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",01/08/2023 00:06:35,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",01/08/2023 00:03:24,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",01/08/2023 00:01:24,"","Back Office and Support"
"ACTIVATION","CARE","Over the Phone","AROY34",31/07/2023 23:06:18,"","Care"
"ACTIVATION","CARE","Over the Phone","AROY34",31/07/2023 20:48:57,"","Care"
"ACTIVATION","RETAIL","In-Person","repretail",31/07/2023 20:17:06,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",31/07/2023 20:16:25,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",31/07/2023 02:20:07,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",31/07/2023 02:14:47,"4683","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",31/07/2023 02:02:40,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",31/07/2023 02:01:20,"4683","Full Service"
"ESCHEATMENT","ERICSSON","Support","EMM",31/07/2023 00:43:44,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",31/07/2023 00:43:44,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",31/07/2023 00:43:43,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:41:01,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:40:17,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:37:57,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:37:29,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:37:26,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:37:22,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:36:43,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:36:37,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:36:22,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:36:21,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:36:16,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:36:14,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:35:52,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:35:46,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:35:22,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:34:35,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:34:26,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:34:05,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:33:59,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:33:56,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:33:22,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:31:56,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:31:17,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:30:39,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:30:29,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:30:25,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:30:18,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:30:06,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:29:17,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:29:02,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:28:25,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:28:23,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:28:18,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:27:09,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:26:43,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:26:09,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:26:04,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:25:52,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:25:31,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:23:44,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:22:54,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:22:49,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:22:47,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:17:08,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:15:56,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:15:37,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:11:39,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:11:10,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:11:08,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:10:48,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:08:34,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:07:43,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:06:56,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:05:33,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:04:58,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:04:39,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:03:55,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:02:53,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",28/07/2023 11:02:00,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:00:41,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",28/07/2023 11:00:14,"","Back Office and Support"
"ACTIVATION","CARE","Over the Phone","AMISHRA103",28/07/2023 07:16:44,"","Care"
"PURCHASEEQUIPMENT","CARE","Over the Phone","AROY34",28/07/2023 07:12:25,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",28/07/2023 00:43:19,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",27/07/2023 23:56:15,"","Care"
"ACTIVATION","CARE","Over the Phone","NMENDIR2",27/07/2023 23:16:42,"","Care"
"ACTIVATION","RETAIL","In-Person","ManagerRetail",27/07/2023 19:19:18,"7806","Full Service"
"ACTIVATION","RETAIL","In-Person","repretail",27/07/2023 19:17:14,"4683","Full Service"
"PURCHASEEQUIPMENT","RETAIL","In-Person","ManagerRetail",27/07/2023 19:16:32,"4683","Full Service"
"ESCHEATMENT","ERICSSON","Support","EMM",27/07/2023 04:09:03,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",27/07/2023 04:04:14,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",27/07/2023 04:04:08,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",27/07/2023 04:04:06,"","Back Office and Support"
"ESCHEATMENT","ERICSSON","Support","EMM",27/07/2023 03:21:19,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",27/07/2023 03:09:06,"","Back Office and Support"
"CHANGESERVICESTATUS","ERICSSON","Support","EMM",27/07/2023 03:08:03,"","Back Office and Support"
